Date,Close,
5月1日,964,964
5月2日,984.1,964
5月3日,987.6,964
5月6日,988.8,964
5月7日,989.8,964
5月8日,990.1,964
5月9日,989.6,964
5月10日,991.1,964
5月13日,992.1,964
5月14日,991.5,964
5月15日,993.3,964
5月16日,992.9,964
5月17日,990.2,964
5月20日,989.2,964
5月21日,990.4,964
5月22日,989.4,964
5月23日,986.7,964
5月24日,985.3,964
5月27日,983.6,964
5月28日,986.1,964
5月29日,984.4,964
5月30日,982.2,964
5月31日,980,964
6月3日,978.8,964
6月4日,973.6,964
6月5日,971.6,964
6月6日,969.7,964
6月7日,974.5,964
6月10日,975.2,964
6月11日,974.1,964
6月12日,975.8,964
