Date,Close
7/3,13005
7/10,12870
7/18,13115
7/24,13040
7/31,12925
8/7,12565
8/14,12015
8/21,11860
8/28,12535
9/4,12375
9/11,12930
9/19,12200
9/25,12240
10/2,12260
10/10,12850
10/16,12555
10/23,12120
10/30,12850
11/6,12970
11/13,13085
11/20,12850
11/27,12720
12/4,12770
12/11,13365
12/18,12985
12/25,13410
1/4,13175
1/9,14575
1/15,14525
1/22,14005
1/29,14475
2/5,14235
2/13,13475
2/19,13310
2/26,13215
3/4,12970
3/11,13065
3/18,13450
3/25,12985
4/1,12780
4/8,13040
4/15,12530
4/22,12770
4/30,13060
5/7,11710
5/13,13100
5/20,12650
5/27,13895
6/3,13425
6/10,13035
6/17,12810
6/24,13640
7/1,13985
